time,mass,thrust,throttle,gimbal_x,gimbal_y,gimbal_z,rw_x,rw_y,rw_z,accel_x,accel_y,accel_z,force_grav_x,force_grav_y,force_grav_z,force_thrust_x,force_thrust_y,force_thrust_z,force_drag_x,force_drag_y,force_drag_z,target_att_x,target_att_y,target_att_z
3.9,538144.7231512071,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.297625880190162,0.0,0.0,-5285805.583018022,-0.0,-0.0,7600000.0,0.0,0.0,-859.1968628469574,-0.0,-0.0,1.0,0.0,0.0
3.95,538007.3145835008,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.301190680613208,0.0,0.0,-5284454.899860626,-0.0,-0.0,7600000.0,0.0,0.0,-882.0321002274168,-0.0,-0.0,1.0,0.0,0.0
4.0,537869.9060157946,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.304756747444517,0.0,0.0,-5283104.199566307,-0.0,-0.0,7600000.0,0.0,0.0,-905.1828058630449,-0.0,-0.0,1.0,0.0,0.0
4.05,537732.4974480884,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.308324080586404,0.0,0.0,-5281753.482133968,-0.0,-0.0,7600000.0,0.0,0.0,-928.6495554380898,-0.0,-0.0,1.0,0.0,0.0
4.1,537595.0888803821,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.311892679944431,0.0,0.0,-5280402.747562519,-0.0,-0.0,7600000.0,0.0,0.0,-952.4329228314766,-0.0,-0.0,1.0,0.0,0.0
4.15,537457.6803126759,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.315462545427407,0.0,0.0,-5279051.995850887,-0.0,-0.0,7600000.0,0.0,0.0,-976.5334801058981,-0.0,-0.0,1.0,0.0,0.0
4.2,537320.2717449697,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.319033676947443,0.0,0.0,-5277701.226998003,-0.0,-0.0,7600000.0,0.0,0.0,-1000.9517974970137,-0.0,-0.0,1.0,0.0,0.0
4.25,537182.8631772634,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.322606074419957,0.0,0.0,-5276350.441002809,-0.0,-0.0,7600000.0,0.0,0.0,-1025.6884434025487,-0.0,-0.0,1.0,0.0,0.0
4.3,537045.4546095572,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.326179737763698,0.0,0.0,-5274999.637864263,-0.0,-0.0,7600000.0,0.0,0.0,-1050.7439843713903,-0.0,-0.0,1.0,0.0,0.0
4.35,536908.0460418509,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3297546669007785,0.0,0.0,-5273648.817581327,-0.0,-0.0,7600000.0,0.0,0.0,-1076.118985092565,-0.0,-0.0,1.0,0.0,0.0
4.4,536770.6374741447,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333330861756705,0.0,0.0,-5272297.980152973,-0.0,-0.0,7600000.0,0.0,0.0,-1101.8140083843186,-0.0,-0.0,1.0,0.0,0.0
4.45,536633.2289064385,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.336908322260381,0.0,0.0,-5270947.125578188,-0.0,-0.0,7600000.0,0.0,0.0,-1127.829615183439,-0.0,-0.0,1.0,0.0,0.0
4.5,536495.8203387322,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.340487048344155,0.0,0.0,-5269596.253855966,-0.0,-0.0,7600000.0,0.0,0.0,-1154.1663645339825,-0.0,-0.0,1.0,0.0,0.0
4.55,536358.411771026,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.344067039943829,0.0,0.0,-5268245.3649853105,-0.0,-0.0,7600000.0,0.0,0.0,-1180.824813576719,-0.0,-0.0,1.0,0.0,0.0
4.6,536221.0032033197,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.347648296998693,0.0,0.0,-5266894.458965237,-0.0,-0.0,7600000.0,0.0,0.0,-1207.8055175379704,-0.0,-0.0,1.0,0.0,0.0
4.65,536083.5946356135,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.351230819451548,0.0,0.0,-5265543.535794769,-0.0,-0.0,7600000.0,0.0,0.0,-1235.109029718682,-0.0,-0.0,1.0,0.0,0.0
4.7,535946.1860679073,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35481460724872,0.0,0.0,-5264192.595472945,-0.0,-0.0,7600000.0,0.0,0.0,-1262.7359014837677,-0.0,-0.0,1.0,0.0,0.0
4.75,535808.777500201,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.358399660340109,0.0,0.0,-5262841.637998805,-0.0,-0.0,7600000.0,0.0,0.0,-1290.6866822507866,-0.0,-0.0,1.0,0.0,0.0
4.8,535671.3689324948,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36198597867918,0.0,0.0,-5261490.663371411,-0.0,-0.0,7600000.0,0.0,0.0,-1318.9619194794286,-0.0,-0.0,1.0,0.0,0.0
4.85,535533.9603647885,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3655735622230205,0.0,0.0,-5260139.671589826,-0.0,-0.0,7600000.0,0.0,0.0,-1347.562158660319,-0.0,-0.0,1.0,0.0,0.0
4.9,535396.5517970823,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3691624109323515,0.0,0.0,-5258788.662653126,-0.0,-0.0,7600000.0,0.0,0.0,-1376.4879433042365,-0.0,-0.0,1.0,0.0,0.0
4.95,535259.1432293761,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372752524771546,0.0,0.0,-5257437.636560397,-0.0,-0.0,7600000.0,0.0,0.0,-1405.739814931041,-0.0,-0.0,1.0,0.0,0.0
5.0,535121.7346616698,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.376343903708665,0.0,0.0,-5256086.593310738,-0.0,-0.0,7600000.0,0.0,0.0,-1435.318313058901,-0.0,-0.0,1.0,0.0,0.0
5.05,534984.3260939636,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.379936547715479,0.0,0.0,-5254735.532903254,-0.0,-0.0,7600000.0,0.0,0.0,-1465.223975193216,-0.0,-0.0,1.0,0.0,0.0
5.1,534846.9175262573,7600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.383530456767489,0.0,0.0,-5253384.455337064,-0.0,-0.0,7600000.0,0.0,0.0,-1495.4573368160086,-0.0,-0.0,1.0,0.0,0.0
